iter	Passed	Remaining
634	3840	2207
635	3846	2201
636	3851	2194
637	3856	2188
638	3861	2181
639	3866	2175
640	3871	2168
641	3876	2161
642	3881	2155
643	3886	2148
644	3891	2141
645	3896	2135
646	3902	2129
647	3908	2122
648	3913	2116
649	3919	2110
650	3925	2104
651	3932	2098
652	3937	2092
653	3943	2086
654	3948	2080
655	3955	2074
656	3961	2068
657	3967	2061
658	3972	2055
659	3977	2049
660	3983	2042
661	3989	2037
662	3995	2030
663	4000	2024
664	4005	2017
665	4012	2012
666	4017	2005
667	4023	1999
668	4029	1993
669	4034	1987
670	4039	1980
671	4045	1974
672	4051	1968
673	4056	1962
674	4062	1955
675	4067	1949
676	4073	1943
677	4079	1937
678	4086	1931
679	4092	1925
680	4097	1919
681	4105	1914
682	4111	1908
683	4119	1902
684	4124	1896
685	4131	1890
686	4136	1884
687	4142	1878
688	4148	1872
689	4155	1866
690	4162	1861
691	4168	1855
692	4174	1849
693	4180	1843
694	4186	1837
695	4192	1831
696	4197	1824
697	4203	1818
698	4208	1812
699	4214	1806
700	4219	1799
701	4225	1793
702	4230	1787
703	4235	1781
704	4240	1774
705	4245	1768
706	4250	1761
707	4255	1755
708	4261	1749
709	4266	1742
710	4271	1736
711	4276	1729
712	4281	1723
713	4286	1716
714	4290	1710
715	4295	1703
716	4300	1697
717	4305	1690
718	4309	1684
719	4314	1678
720	4320	1671
721	4325	1665
722	4330	1659
723	4335	1652
724	4339	1646
725	4344	1639
726	4349	1633
727	4354	1626
728	4361	1621
729	4366	1615
730	4372	1608
731	4376	1602
732	4381	1596
733	4386	1589
734	4391	1583
735	4395	1576
736	4400	1570
737	4405	1564
738	4410	1557
739	4415	1551
740	4419	1544
741	4424	1538
742	4429	1532
743	4434	1525
744	4439	1519
745	4444	1513
746	4448	1506
747	4453	1500
748	4458	1493
749	4462	1487
750	4467	1481
751	4472	1475
752	4477	1468
753	4482	1462
754	4487	1456
755	4491	1449
756	4497	1443
757	4502	1437
758	4507	1431
759	4512	1424
760	4516	1418
761	4521	1412
762	4526	1405
763	4530	1399
764	4535	1393
765	4540	1387
766	4545	1380
767	4550	1374
768	4555	1368
769	4561	1362
770	4566	1356
771	4571	1350
772	4576	1343
773	4581	1337
774	4586	1331
775	4591	1325
776	4597	1319
777	4602	1313
778	4607	1307
779	4613	1301
780	4618	1294
781	4623	1288
782	4628	1282
783	4633	1276
784	4639	1270
785	4644	1264
786	4648	1258
787	4653	1251
788	4659	1246
789	4664	1239
790	4669	1233
791	4674	1227
792	4678	1221
793	4683	1215
794	4688	1209
795	4693	1202
796	4698	1196
797	4703	1190
798	4708	1184
799	4712	1178
800	4718	1172
801	4723	1166
802	4728	1159
803	4733	1153
804	4737	1147
805	4742	1141
806	4748	1135
807	4755	1130
808	4760	1123
809	4765	1117
810	4769	1111
811	4774	1105
812	4779	1099
813	4783	1093
814	4788	1087
815	4793	1080
816	4798	1074
817	4802	1068
818	4807	1062
819	4812	1056
820	4817	1050
821	4821	1044
822	4826	1038
823	4831	1031
824	4836	1025
825	4841	1019
826	4846	1013
827	4850	1007
828	4856	1001
829	4861	995
830	4866	989
831	4871	983
832	4876	977
833	4882	971
834	4890	966
835	4895	960
836	4900	954
837	4906	948
838	4911	942
839	4916	936
840	4921	930
841	4926	924
842	4931	918
843	4935	912
844	4940	906
845	4945	900
846	4950	894
847	4956	888
848	4962	882
849	4968	876
850	4973	870
851	4979	864
852	4985	859
853	4990	853
854	4995	847
855	5001	841
856	5006	835
857	5011	829
858	5015	823
859	5020	817
860	5025	811
861	5030	805
862	5035	799
863	5039	793
864	5044	787
865	5049	781
866	5055	775
867	5060	769
868	5064	763
869	5069	757
870	5074	751
871	5079	745
872	5084	739
873	5089	733
874	5093	727
875	5098	721
876	5103	715
877	5108	709
878	5113	703
879	5118	697
880	5122	691
881	5127	685
882	5132	680
883	5136	674
884	5141	668
885	5147	662
886	5152	656
887	5158	650
888	5163	644
889	5167	638
890	5172	632
891	5176	626
892	5181	620
893	5186	614
894	5191	609
895	5195	603
896	5200	597
897	5205	591
898	5210	585
899	5215	579
900	5220	573
901	5224	567
902	5229	561
903	5234	555
904	5238	549
905	5243	544
906	5248	538
907	5254	532
908	5259	526
909	5264	520
910	5268	514
911	5286	510
912	5290	504
913	5296	498
914	5301	492
915	5305	486
916	5310	480
917	5315	474
918	5319	468
919	5324	463
920	5331	457
921	5336	451
922	5342	445
923	5349	439
924	5354	434
925	5360	428
926	5366	422
927	5372	416
928	5378	411
929	5384	405
930	5389	399
931	5395	393
932	5400	387
933	5405	381
934	5410	376
935	5415	370
936	5420	364
937	5426	358
938	5431	352
939	5436	347
940	5441	341
941	5446	335
942	5452	329
943	5458	323
944	5464	318
945	5469	312
946	5475	306
947	5480	300
948	5485	294
949	5490	288
950	5495	283
951	5499	277
952	5504	271
953	5509	265
954	5514	259
955	5519	254
956	5524	248
957	5529	242
958	5533	236
959	5538	230
960	5544	224
961	5549	219
962	5554	213
963	5559	207
964	5564	201
965	5569	196
966	5576	190
967	5581	184
968	5586	178
969	5591	172
970	5596	167
971	5601	161
972	5605	155
973	5610	149
974	5615	143
975	5620	138
976	5625	132
977	5630	126
978	5634	120
979	5639	115
980	5644	109
981	5650	103
982	5656	97
983	5661	92
984	5667	86
985	5674	80
986	5680	74
987	5686	69
988	5692	63
989	5698	57
990	5703	51
991	5709	46
992	5714	40
993	5719	34
994	5725	28
995	5730	23
996	5735	17
997	5740	11
998	5745	5
999	5750	0
